month,avgeurusd,mineurusd,maxeurusd,workdays
12/2007,1.457037,1.434900,1.474100,19
11/2007,1.468364,1.442300,1.487400,22
10/2007,1.422748,1.403700,1.444700,23
9/2007,1.389645,1.358000,1.418000,20
8/2007,1.362248,1.340500,1.381800,23
7/2007,1.371559,1.358800,1.383300,22
6/2007,1.341857,1.328700,1.353200,21
5/2007,1.351132,1.342000,1.361500,22
4/2007,1.351616,1.335200,1.364900,19
3/2007,1.324186,1.308300,1.335200,22
2/2007,1.307420,1.292500,1.323000,20
1/2007,1.299864,1.289300,1.327000,22
12/2006,1.321279,1.309500,1.333100,19
11/2006,1.288141,1.270200,1.320000,22
10/2006,1.261105,1.251500,1.273700,22
9/2006,1.273038,1.265400,1.285200,21
8/2006,1.281130,1.271800,1.291900,23
7/2006,1.268367,1.248200,1.279400,21
6/2006,1.264995,1.250200,1.295800,22
5/2006,1.276959,1.259200,1.291400,22
4/2006,1.227117,1.206300,1.253700,18
3/2006,1.202000,1.191300,1.218500,23
2/2006,1.193835,1.185200,1.209200,20
1/2006,1.210314,1.182600,1.229400,22
12/2005,1.185610,1.169700,1.202000,21
11/2005,1.178573,1.166700,1.204100,22
10/2005,1.201452,1.193300,1.214400,21
9/2005,1.225641,1.200500,1.254100,22
8/2005,1.229243,1.218100,1.245700,23
7/2005,1.203810,1.188300,1.218700,21
6/2005,1.216491,1.205400,1.232400,22
5/2005,1.269395,1.233100,1.295400,22
4/2005,1.293790,1.281000,1.307700,21
3/2005,1.320067,1.292600,1.341600,21
2/2005,1.301425,1.276200,1.326000,20
1/2005,1.312124,1.293600,1.350700,21
12/2004,1.340761,1.319100,1.363300,23
11/2004,1.299136,1.270500,1.329500,22
10/2004,1.248967,1.226700,1.279200,21
9/2004,1.221782,1.203900,1.240900,22
8/2004,1.217595,1.198300,1.235900,22
7/2004,1.226586,1.202600,1.241200,22
6/2004,1.214309,1.200100,1.231900,22
5/2004,1.200724,1.180200,1.224600,21
4/2004,1.198540,1.182600,1.232000,20
3/2004,1.226165,1.211800,1.248400,23
2/2004,1.264645,1.241800,1.285800,20
1/2004,1.261319,1.237300,1.282800,21
12/2003,1.228562,1.197500,1.263000,21
11/2003,1.170195,1.142400,1.199400,20
10/2003,1.169191,1.157900,1.178800,23
9/2003,1.122032,1.078300,1.165200,22
8/2003,1.113867,1.081600,1.139200,21
7/2003,1.137183,1.113800,1.154300,23
6/2003,1.166281,1.141300,1.185400,21
5/2003,1.158181,1.121800,1.190100,21
4/2003,1.084760,1.058200,1.113100,20
3/2003,1.080652,1.057000,1.108000,21
2/2003,1.077295,1.070600,1.091000,20
1/2003,1.062186,1.037700,1.087000,22
12/2002,1.018255,0.987100,1.048700,20
11/2002,1.001362,0.990500,1.012600,21
10/2002,0.981109,0.973500,0.989000,23
9/2002,0.980795,0.964900,0.997500,21
8/2002,0.977759,0.968700,0.987300,22
7/2002,0.992183,0.972500,1.014600,23
6/2002,0.955440,0.931300,0.997500,20
5/2002,0.917000,0.903000,0.938700,22
4/2002,0.885843,0.876300,0.903800,21
3/2002,0.875800,0.864900,0.885300,20
2/2002,0.870035,0.863200,0.879400,20
1/2002,0.883286,0.857800,0.903800,22
12/2001,0.891789,0.879800,0.904900,19
11/2001,0.888500,0.877800,0.909700,22
10/2001,0.905865,0.888700,0.921400,23
9/2001,0.911095,0.885500,0.926900,20
8/2001,0.900483,0.876300,0.921600,23
7/2001,0.860664,0.838400,0.879300,22
6/2001,0.853167,0.846500,0.866200,21
5/2001,0.874164,0.848000,0.893900,22
4/2001,0.891742,0.877200,0.903200,19
3/2001,0.909523,0.883200,0.936300,22
2/2001,0.921705,0.905600,0.942500,20
1/2001,0.938282,0.914600,0.954500,22
12/2000,0.897316,0.873500,0.931000,19
11/2000,0.856386,0.840600,0.873000,22
10/2000,0.855159,0.825200,0.880200,22
9/2000,0.872114,0.847600,0.900000,21
8/2000,0.904057,0.890600,0.926400,23
7/2000,0.939657,0.921600,0.954200,21
6/2000,0.949177,0.932700,0.966800,22
5/2000,0.905964,0.887500,0.935900,22
4/2000,0.946950,0.908500,0.967300,18
3/2000,0.964343,0.954300,0.972500,23
2/2000,0.983424,0.963900,1.006800,21
1/2000,1.013695,0.979100,1.038800,21
12/1999,1.010735,1.001500,1.023900,23
11/1999,1.033823,1.007700,1.057200,22
10/1999,1.070633,1.045300,1.086900,21
9/1999,1.050077,1.034200,1.068200,22
8/1999,1.060355,1.043300,1.079100,22
7/1999,1.035268,1.012400,1.069800,22
6/1999,1.037755,1.028000,1.047400,22
5/1999,1.062810,1.045600,1.079900,21
4/1999,1.070441,1.058100,1.086700,22
3/1999,1.088296,1.069200,1.101200,23
2/1999,1.120765,1.096900,1.134200,20
1/1999,1.161064,1.138400,1.179000,21
