year	month	m1_12	m24_36	m48_60	m61_120
1960	11	0.00131	-0.0034	-0.00875	-0.00565
1960	12	0.00424	0.01385	0.0243	0.02082
1961	1	0.00218	-0.00424	-0.00996	-0.0062
1961	2	0.00057	0.00318	0.00831	0.00895
1961	3	0.00307	0.0061	0.00167	0.00248
1961	4	0.00249	0.004	0.00878	0.00591
1961	5	0.00231	-0.0019	-0.00152	-0.00184
1961	6	0.00235	0.00021	-0.00693	-0.00294
1961	7	0.00337	0.00358	0.00092	-0.00118
1961	8	0.00122	0.00042	-0.00346	0.00234
1961	9	0.00277	0.0056	0.0087	0.01078
1961	10	0.00252	0.00531	0.00411	0.00354
1961	11	0.002	0.00122	0.00104	-0.00065
1961	12	0.00171	0.00094	-0.00076	0.00302
1962	1	0.00324	0.00152	0.00078	-0.00347
1962	2	0.00282	0.0091	0.01438	0.01299
1962	3	0.0034	0.0062	0.00901	0.01084
1962	4	0.00245	0.00203	0.002	0.00302
1962	5	0.00273	0.00519	0.00287	0.00189
1962	6	0.00105	-0.00217	-0.00618	-0.00245
1962	7	0.00243	0.00217	0.00148	0.00053
1962	8	0.00311	0.00923	0.01306	0.01063
1962	9	0.00296	0.00359	0.00557	0.0044
1962	10	0.00292	0.00343	0.00597	0.00655
1962	11	0.00178	0.00093	0.00606	0.00475
1962	12	0.00226	0.00261	0.00465	0.00639
1963	1	0.00296	0.00435	1e-05	0.00118
1963	2	0.00279	0.00285	0.00172	-0.00098
1963	3	0.00162	0.00205	0.00169	0.00229
1963	4	0.00278	0.00073	0.00245	0.0033
1963	5	0.00193	0.00232	0.00089	0.00168
1963	6	0.00247	0.00276	0.00059	0.00025
1963	7	0.0026	-0.0011	-2e-05	0.0029
1963	8	0.0021	0.00234	0.00102	8e-05
1963	9	0.00281	0.00338	0.0032	0.00286
1963	10	0.00254	0.00139	0.00107	-0.00025
1963	11	0.00228	0.00204	0.00264	0.00569
1963	12	0.00326	0.00154	0.00011	0.00042
1964	1	0.0033	0.00356	0.00497	0.00173
1964	2	0.00208	0.00103	0.00015	5e-05
1964	3	0.00325	0.00112	-0.00089	0.00055
1964	4	0.00402	0.00539	0.00523	0.00525
1964	5	0.00283	0.00426	0.00586	0.00622
1964	6	0.00338	0.00584	0.00531	0.0072
1964	7	0.00292	0.00514	0.00491	0.00217
1964	8	0.00244	0.00187	0.00179	0.0018
1964	9	0.00299	0.00178	0.00143	0.0055
1964	10	0.00258	0.00292	0.00319	0.00301
1964	11	0.00139	-3e-05	-0.00036	6e-04
1964	12	0.00406	0.00657	0.00656	0.00353
1965	1	0.00292	0.00373	0.0037	0.00504
1965	2	0.00224	8e-04	0.00038	8e-04
1965	3	0.004	0.00337	0.00459	0.00516
1965	4	0.00307	0.00327	0.00257	0.0031
1965	5	0.00274	0.00328	0.0024	0.00263
1965	6	0.00384	0.00538	0.00386	0.00533
1965	7	0.00312	0.00234	0.00172	0.00178
1965	8	0.00265	0.00118	0.00153	-0.00076
1965	9	0.00223	-0.00028	-0.00077	-0.00122
1965	10	0.00307	0.00275	5e-04	-0.00013
1965	11	0.00283	0.00116	0.00189	-0.00021
1965	12	0.00155	-0.00849	-0.01331	-0.01128
1966	1	0.00427	0.00482	0.00107	-0.00216
1966	2	0.0029	0.00112	-0.00213	-0.01072
1966	3	0.0049	0.00907	0.01168	0.02147
1966	4	0.00323	0.00188	0.00282	-0.00064
1966	5	0.00339	0.00093	-0.00207	0.00072
1966	6	0.0043	0.00209	-0.00105	-0.00318
1966	7	0.003	0.0024	-0.0024	-0.00524
1966	8	0.00173	-0.00799	-0.01283	-0.01011
1966	9	0.00519	0.01287	0.01345	0.02422
1966	10	0.00512	0.00643	0.007	0.00707
1966	11	0.00463	0.00301	0.00205	0.00028
1966	12	0.00635	0.01509	0.02434	0.02944
1967	1	0.00576	0.01038	0.01086	0.01176
1967	2	0.00281	-0.001	0.00043	-0.00414
1967	3	0.00651	0.01785	0.01807	0.01968
1967	4	0.00349	-0.00348	-0.00736	-0.01092
1967	5	0.0038	0.00398	0.00079	0.00514
1967	6	4e-04	-0.00983	-0.01995	-0.02395
1967	7	0.00324	0.0079	0.01118	0.01256
1967	8	0.00357	-0.00334	-0.00357	-0.0029
1967	9	0.00332	0.00389	0.00279	0.00203
1967	10	0.00346	-0.00349	-0.00751	-0.01361
1967	11	0.00248	0.00394	0.00055	0.00015
1967	12	0.00391	0.00095	0.00233	0.00891
1968	1	0.00717	0.01314	0.01532	0.01419
1968	2	0.00312	0.00132	0.00369	0.00228
1968	3	0.00396	0.00134	-0.002	-0.00341
