f3,v3,tot3,prov,reg,scl,nahm,durb,nch06,nch711,nch1217,nch18
2452.5261,1000,16910.3599,8,2,1,1,5,0,0,0,1
1391.9309,2811.35,13645.7673,8,2,3,1,11,0,0,0,1
4071.3321,0,59657.4111,10,5,2,1,12,0,0,0,1
8951.2023,0,28237.7255,10,5,4,2,6,2,0,0,2
7935.761,583.7,27372.7502,10,5,1,2,9,1,1,0,2
8792.6065,1255.65,36512.4295,5,4,4,2,5,1,1,0,2
10408.2547,1068,43348.2167,10,5,2,2,6,1,3,0,2
8335.6003,4174.03,56694.4193,10,5,4,3,5,0,0,0,3
5730.3167,775,32110.9514,10,5,4,1,9,0,0,0,1
8627.2486,247.68,30313.8226,10,5,3,2,6,2,0,0,2
4707.9712,1521.1,41544.3272,10,5,2,2,9,0,0,0,2
10052.1589,0,38116.5019,10,5,4,2,6,3,0,0,2
7538.9961,2939,40119.1151,10,5,2,2,6,0,2,0,2
6256.8563,228,31489.477,11,5,3,2,5,1,0,0,2
