f3,v3,tot3,prov,reg,scl,nahm,durb,nch06,nch711,nch1217,nch18
5194.2383,3596.05,25257.1673,12,1,4,2,13,0,0,0,0
9435.3164,0,20607.0857,8,6,5,2,7,0,0,0,0
4210.3408,24147.05,78875.8008,8,6,3,2,7,0,0,0,0
11923.4755,10880.69,99075.0845,7,2,1,3,6,0,0,1,0
9106.1718,0,39076.8738,8,2,4,2,7,2,0,0,0
8445.749,290,40048.189,9,5,4,2,4,0,2,0,0
11333.4257,1969.42,33377.9217,9,5,4,4,4,0,0,2,0
7328.2124,2902,33466.2784,9,5,3,2,9,0,0,0,0
6876.4328,281.8,31143.8778,9,5,3,3,6,0,0,1,0
4287.0585,0,11642.4699,10,5,4,2,5,1,0,0,0
7124.2325,524.95,19024.4999,11,5,5,2,9,0,0,0,0
6790.187,13.9,24151.4517,5,4,3,1,12,0,0,0,0
8337.6137,0,29009.5748,5,4,2,2,12,0,0,0,0
3555.7777,45,10352.761,5,4,4,1,9,0,0,0,0
9439.2657,10.45,43441.1587,7,2,3,2,6,1,0,0,0
5625.427,0,15028.3088,7,2,5,2,6,0,0,0,0
3838.1498,3889.9,26440.7318,7,2,4,2,11,0,0,0,0
9308.2863,4468.57,67542.8533,6,2,4,4,5,0,0,0,2
4266.095,39.75,19086.0137,7,2,5,1,12,0,0,0,0
9127.3719,0,35886.9629,8,2,4,3,7,0,0,1,0
2663.8312,795,15997.3669,12,1,4,1,13,0,0,0,0
9499.4324,657.8,22469.8195,12,1,4,2,13,0,0,0,0
1987.6889,74.8,16671.2632,12,1,2,1,13,0,0,0,0
3368.3219,7439.84,31671.4298,12,1,3,4,13,0,0,0,2
3135.6047,330.65,18773.7612,8,2,4,1,6,0,0,0,0
9105.8697,947.5,49317.3057,10,5,3,2,5,1,1,0,0
9337.0652,59.5,121617.0022,10,5,1,2,5,0,0,0,0
7242.3578,3649.5,33530.2374,10,5,3,2,6,0,0,0,0
6806.3829,6448.63,51625.3299,10,5,2,2,6,0,0,0,0
8210.4707,5508.85,34888.5819,10,5,4,4,10,0,0,2,0
12106.1749,2279.65,69068.9729,2,3,3,2,5,2,2,0,0
7143.9681,0,21880.0821,3,3,4,2,10,2,0,0,0
7345.8862,55,23808.6125,4,4,2,2,12,2,0,0,0
3763.5517,13,19103.3287,4,4,5,2,11,0,0,0,0
5536.5722,197,25838.0769,5,4,4,2,5,1,0,0,0
5401.8637,0,21272.7609,5,4,5,2,9,0,0,0,0
3379.1768,305,20561.4336,5,4,3,1,12,0,0,0,0
5775.9199,175,23229.2495,6,2,3,1,12,0,0,0,0
1318.9139,2261.21,29744.2419,6,2,4,2,12,0,0,0,0
5876.5777,1966.4,32396.0759,7,2,3,2,12,0,0,0,0
4958.8772,1873.7,25658.7372,12,1,1,2,13,0,0,0,0
3986.5292,0,22404.2252,8,2,3,1,11,0,0,0,0
9043.6424,0,33155.3013,10,5,4,3,6,0,1,2,0
3637.5991,835.64,18261.0942,12,1,4,1,13,0,0,0,0
6021.531,98.5,26889.591,12,1,4,2,13,0,0,0,0
3262.9383,4977.1,34823.3613,8,2,3,2,11,0,0,0,0
4547.3639,0,23978.8239,12,1,4,2,13,0,0,0,0
4419.008,187.5,18981.067,12,1,3,1,13,0,0,0,0
9551.9574,650,40372.3544,11,5,4,4,5,0,0,1,1
5606.6167,1899.35,26472.9957,10,5,4,2,12,0,0,0,0
8711.1003,595.5,38452.9612,7,2,4,2,7,0,0,0,0
8086.5426,2525.15,38215.0906,7,2,2,2,6,3,0,0,0
4461.6815,0,20441.2308,6,2,2,2,9,0,0,0,0
7825.4602,1700,52951.6892,9,5,3,2,9,0,0,0,0
6941.6817,1608.3,25281.2017,4,4,3,2,6,0,0,0,0
6997.3448,528.74,56041.4918,5,4,2,2,6,0,0,0,0
8659.4356,693.9,40209.9506,1,3,3,2,12,1,2,0,0
2956.5751,0,9496.6098,8,6,4,1,7,0,0,0,0
5028.2351,10332,37497.7733,6,2,2,2,7,0,0,0,0
12252.1346,3972,70324.6546,5,4,2,3,12,0,1,1,0
